id,fake,real
TEST_00000,0.9999996423721312,0.7560036182403564
TEST_00001,0.925221025943756,0.9989290833473206
TEST_00002,0.9999891519546508,0.9931380152702332
TEST_00003,0.7591502070426941,0.532386302947998
TEST_00004,0.0011960987467318,0.9998687505722046
TEST_00005,2.534064697101712e-05,0.9999855756759644
TEST_00006,0,0
TEST_00007,0.000409830128774,0.9993112087249756
TEST_00008,0.014959524385631,0.999854326248169
TEST_00009,0.9999676942825316,0.9787518382072448
TEST_00010,0.9773297309875488,0.9865955710411072
TEST_00011,0,0
TEST_00012,0.9999992847442628,0.9953516721725464
TEST_00013,0.0331838689744472,0.9967923760414124
TEST_00014,0.999990940093994,0.0107009029015898
TEST_00015,0,0
TEST_00016,0.0922688618302345,0.9998575448989868
TEST_00017,0.093344897031784,0.9984890222549438
TEST_00018,0,0
TEST_00019,0.9995062351226808,0.9886038303375244
TEST_00020,0.0190402269363403,0.9974883794784546
TEST_00021,0.1392342150211334,0.999182403087616
TEST_00022,0.0012759725796058,0.9999405145645142
TEST_00023,0.9942336678504944,0.9910936951637268
TEST_00024,0.9999629259109496,0.8544104099273682
TEST_00025,0.8788036704063416,0.9908141493797302
TEST_00026,2.982861769851297e-05,0.9999860525131226
TEST_00027,0.002472756197676,0.9998738765716552
TEST_00028,0.9998037219047546,0.8298371434211731
TEST_00029,0.9999985694885254,0.4778160750865936
TEST_00030,0.0057164672762155,0.989352822303772
TEST_00031,9.16308126761578e-05,0.9999768733978271
TEST_00032,0,0
TEST_00033,0.9773847460746764,0.8749255537986755
TEST_00034,0.9999922513961792,0.9020351767539978
TEST_00035,1.0,0.5613818764686584
TEST_00036,0.0900526791810989,0.9998875856399536
TEST_00037,0.0017684156773611,0.9998558759689332
TEST_00038,0.9988590478897096,0.9794105291366576
TEST_00039,0.999869704246521,0.9798790216445924
TEST_00040,0,0
TEST_00041,0.0004015107115264,0.9996172189712524
TEST_00042,0,0
TEST_00043,0.0136534115299582,0.9607054591178894
TEST_00044,0.8223260641098022,0.9994475245475768
TEST_00045,0.999997615814209,0.8057799339294434
TEST_00046,0.9998778104782104,0.9906408190727234
TEST_00047,0.1209330782294273,0.978721559047699
TEST_00048,0.003759017214179,0.9999276399612428
TEST_00049,0.9999995231628418,0.9674023389816284
TEST_00050,0.999051868915558,0.991421401500702
TEST_00051,0.0012931622331961,0.9989013671875
TEST_00052,0.9999775886535645,0.9932273030281068
TEST_00053,0.9999991655349731,0.4753084182739258
TEST_00054,0.9999943971633912,0.1873162537813186
TEST_00055,0.997546136379242,0.9998905658721924
TEST_00056,0,0
TEST_00057,0,0
TEST_00058,0.1759302020072937,0.937898337841034
TEST_00059,0.4651150107383728,0.9175190925598145
TEST_00060,0.0005707765812985,0.9999052286148072
TEST_00061,0,0
TEST_00062,0.9999990463256836,0.9831777215003968
TEST_00063,0.8883474469184875,0.9969605803489684
TEST_00064,0.0005527167231775,0.999880075454712
TEST_00065,0.9208733439445496,0.9967681169509888
TEST_00066,0.0587045177817344,0.9959969520568848
TEST_00067,0.9999995231628418,0.9783807396888732
TEST_00068,0.9987279772758484,0.9986176490783693
TEST_00069,0.9996022582054138,0.99034321308136
TEST_00070,0.0355920605361461,0.9997758269309998
TEST_00071,0.0392392501235008,0.998960256576538
TEST_00072,0.1992747038602829,0.992021918296814
TEST_00073,0.4459733068943023,0.9998264908790588
TEST_00074,1.0,0.233284905552864
TEST_00075,0,0
TEST_00076,0.9518802165985109,0.0157434120774269
TEST_00077,0.0498976334929466,0.9955822825431824
TEST_00078,0.0027027719188481,1.0
TEST_00079,0.1068118810653686,0.4698614776134491
TEST_00080,0.9999841451644896,0.8332950472831726
TEST_00081,0.9995087385177612,0.9662505984306335
TEST_00082,0.9417396187782288,0.8798055648803711
TEST_00083,1.2838924021707498e-06,0.9994381070137024
TEST_00084,0.9999874830245972,0.9714003205299376
TEST_00085,0.1183792054653167,0.9983454942703248
TEST_00086,0.8831202387809753,0.9999568462371826
TEST_00087,0.9999866485595704,0.3627029061317444
TEST_00088,0,0
TEST_00089,0.1729093492031097,0.9995585083961488
